大丈夫、大丈夫。	It's okay.
彼は立とうとしました。	He tried to stand up.
どうして彼女はそんなに怒ったのか。	What made her so angry?
彼女は貧しい、しかし幸せだ。	"She is poor, but happy."
そんなガツガツ食べないで、もうちょっとゆっくり食べようよ。	Stop inhaling your food. You should eat more slowly.
彼女はテニスがうまい。	She is a good tennis player.
君といると幸せだ。	I feel happy when I'm with you.
あなたの友達がCIAにいると聞いています。	I hear you have friends in the CIA.
彼女は計画を一部変更した。	She altered her plans.
彼は私の一番会いたくない人だ。	He is the last man I want to see.
四月一日です。	It's April first.
好きだろうと嫌いだろうと、この薬を飲まなければなりません。	"Like it or not, you have to take this medicine."
トムはまた咳をしている。	Tom is coughing again.
祖母は82歳でなお矍鑠としています。	My grandmother is still vigorous at 82 years old.
寒い日が３週間も続いた。	The cold weather lasted for three weeks.
彼女は若いころ美しかった。	She was beautiful in her time.
トムは兄弟のように私に接してくれた。	Tom treated me like a brother.
トムは私より広いアパートに住んでるんだよ。	Tom lives in a larger apartment than mine.
先日彼女は映画に行った。	She went to a movie the other day.
もしかしたら、トムはフランス語がわからないんじゃないかな。	Perhaps Tom doesn't understand French.
歩いてすぐですよ。	It's a short walk.
飛行機の出発予定は何時ですか？	When does your plane depart?
彼女が回復する望みはほとんどない。	There is little hope of her recovery.
来週土曜日にバスツアーをしない？	What do you say to a bus tour next Saturday?
彼は帽子をかぶってはいなかった。	He had no hat on.
ジョンとメアリーがデートしているのを目撃してトムは驚いた。	Tom was surprised to see John and Mary out on a date.
彼は鳥が頭上を飛んでいくのを眺めるのが好きです。	He likes to watch the birds fly above his head.
トムは大きなうめき声を発した。	Tom groaned loudly.
歩きながら本を読んではいけない。	Do not read while walking.
話がちょっと途切れた。	There was a momentary pause in the talk.
マウスパッドが要ります。	I need a mouse pad.
いつでも出かけられます。	We're ready to leave.
トムは入院してるの？	Is Tom in the hospital?
出してくれ。	Let me out!
オーストラリアに行きたくないな。	I'd prefer not to go to Australia.
その音で彼女は眠りから覚めた。	The sound roused her from sleep.
今彼の頭には彼女に会うことしかない。	The only thing he's thinking about is seeing her.
彼らは私のアイデアを盗んだ。	They stole my idea.
これ自分で描いたの？	Did you draw this yourself?
もっと繊維質を取りなさい。	You need to eat more fiber.
お手伝いしますよ。	I'll help you out.
セゴビアまでの切符はいくらですか？	How much is a ticket to Segovia?
彼女は強情です。	She's stubborn.
フランス語は難しいよ。	French is a difficult language.
実験は成功だった。	The experiment was successful.
もし気がかわったら、知らせてください。	"If you change your mind, let us know."
タバコをご遠慮いただけますか。	Would you mind not smoking?
私は一晩ぐっすり眠った。	I had a good night's rest.
フランス語の勉強をしています。	I'm studying French.
どっか行け。	Get lost!
来たいと思う生徒はもうこれ以上いないと思う。	I don't think that any more students want to come.
入院中の彼のお見舞いに行ってきたんだ。	I visited him in the hospital.
どうして出生率がそんなに急激に減ったのだろうか。	Why has the birthrate declined so sharply?
彼に長い手紙を書いた。	I wrote a long letter to him.
彼は泣き続けた。	He kept on crying.
君の言ったことはまったくナンセンスだ。	What you said is complete nonsense.
トムって、まだあなたのキーを持ってるの？	Does Tom still have your key?
ごめん、ちょっとだけ声落としてくれない？	"Excuse me, could you lower your voice a little?"
トムとメアリーは同じことしてるの？	Are Tom and Mary doing the same thing?
トムは怒りを隠しきれなかった。	Tom couldn't hide his anger.
彼らはあそこに住んでいる。	They live there.
飛び跳ねて！	Jump.
彼女に何が起こったんだろう。	I wonder what happened to her.
彼は働きすぎで死んだ。	He died from overwork.
彼女は見栄を張っているだけだよ。	She's just putting up a front.
私は冷静でいようとしたが、とうとう堪忍袋の緒が切れた。	"I tried to be calm, but finally I lost my temper."
電話番号をお間違えだと思います。	I am afraid you have the wrong number.
私は歩いて家に帰らなければならなかった。	I had to walk home.
その法律はこの件には当てはまらない。	The law doesn't apply to this case.
トムは正しかったと思う。	I guess Tom was right.
私だったらやらないけどな。	"If I were you, I wouldn't do it."
アメリカではどの都市にも図書館がある。	There is a library in every city in the United States.
多くの時間が浪費された。	A lot of time was wasted.
私は血圧が低いです。	I have low blood pressure.
自分の言ったことを後悔している。	I feel bad about what I said.
落ち着いて。	Take it easy.
彼は昨日学校を休んだ。	He was absent from school yesterday.
本当に他に何も必要ないの？	Are you sure you don't need anything else?
本当にたくさん質問するね。	You do ask a lot of questions.
起きろ！	Wake up!
離婚したくないんだ。	I don't want to get divorced.
トムは笑わずにはいられなかった。	Tom couldn't help but laugh.
トムに会いに来ました。	I'm here to see Tom.
彼女には友達がたくさんいるようだ。	She appears to have a lot of friends.
車の値段がはねあがっているので今は買う時期としては最悪だ。	"With car prices so high, now is the worst time to buy."
本当に気味が悪いと思った。	I thought that that was really weird.
今日は暑い。	It's hot today.
彼は死んで５年になる。	He has been dead for five years.
あの旅館は家庭的だ。	The hotel has a homey atmosphere.
それって、まだ屋根裏部屋にあるの？	Is it still up in the attic?
みんなマスクをしてるよ。	Everyone is wearing a mask.
トムは今朝、契約書にサインした。	Tom signed the contract this morning.
君の電話番号を忘れてしまった。	I've forgotten your number.
彼女は昨年生まれた。	She was born last year.
トムは医者に診てもらった。	Tom saw a doctor.
トムは私たちを恐れてるって知ってる。	I know Tom is afraid of us.
その角を左へ曲がりなさい。	Turn left at the corner.
彼は彼女に２度と話しかけようとはしなかった。	He would not speak to her again.
部屋には本が散らかっていた。	Books were lying about in the room.
トムが初めてメアリーに会ったのは3年前のことだった。	Tom met Mary for the first time three years ago.
３０人もの人が出席した。	No fewer than thirty people were present.
居間の電気は消したの？	Did you turn the living room light off?
コーヒーのおかわりを下さい。	Could I have some more coffee?
あの店には私に合う帽子はなかったよ。	There were no hats in that store that fit me.
私は彼に千円借りている。	"I am in debt to him for 1,000 yen."
トムが夕食の時間に間に合うように戻る可能性は低いと思います。	I think it's unlikely that Tom will get back in time for supper.
約束はきちんと果たすべきだ。	You should make good on your promises.
私はとても寂しい。	I'm really lonely.
１０日ぶりに雨が降った。	It rained for the first time in ten days.
仮に宝くじに当たったとしたら、そのお金で何を買いますか。	"If you were to win the lottery, what would you buy with the money?"
その車を持っているのはトムであって、私ではありません。	"Tom is the one with the car, not me."
２人の子供が通りで遊んでいた。	There were two children playing on the street.
どちらのかばんがあなたの物ですか。	Which bag is yours?
まだ怒ってる？	Are they still angry?
お酒を飲む人はお断り。	No drinkers allowed.
次に彼女が来る時には、家にいるつもりです。	I'll be at home the next time she comes.
トムはUFOを見たことがない。	Tom has never seen a UFO.
来週ニューヨークに行くつもりです。	I will go to New York next week.
紙は木から作られる。	Paper is made from wood.
私はその件であなたに賛成できない。	I cannot agree with you on the matter.
部屋には１冊の本もなかった。	There wasn't even one book in the room.
彼女を手術室に運んでくれ。	Carry her to the operating room.
こないだ彼に会った。	I met him the other day.
それって、新品なの？	Is it new?
私は彼女とハワイに行ったことをいつまでも忘れない。	I'll never forget going to Hawaii with her.
この機械の使い方を知っていますか。	Do you know how to use this machine?
この小包をすぐ送ってもらいたい。	I'd like you to send this package for me right away.
あなたは私の父です。	You are my father.
トムは学部卒だ。	Tom is a college graduate.
彼女はトムのお姉さんです。	She's Tom's sister.
私の肖像画を描くのに、あなたを雇いたいのです。	I'd like to hire you to paint a portrait of me.
バスが止まったが、誰も降りなかった。	"The bus stopped, but no one got out."
びっくりだ。	It's a surprise.
和平交渉がすでに秘密裡に開始されたとのことです。	It is rumored that secret peace talks have already begun.
一般に男子の方が女子より背が高い。	"Boys, as a rule, are taller than girls."
その言葉は初めて聞きました。	This is the first time that I've heard that word.
写真見して。	Show me the photo.
それの修理には２０００円ぐらいかかります。	"It'll cost about 2,000 yen to fix it."
目が覚めてみると、雪が降っていた。	I awoke to find it snowing.
１０時きっかりに来なさい。	Come at ten o'clock sharp.
タバコを吸ってもよろしいですか。	Do you mind if I smoke?
本当にゴメンよ。	I'm very sorry.
少々おまちください。	Please wait a moment.
夫が協力してくれさえすれば、彼女は家庭から大半の悩みの種を取り除くことができるだろう。	"If only her husband helped her, most of her problems at home would disappear."
２０代の若い女性の中には、夏休みに海外旅行にでたいと思う人も多い。	Many young women in their 20s plan to go abroad during their summer holidays.
わが国の主な農産物は米である。	The chief crop of our country is rice.
料金の手ごろなホテルを見つけて下さい。	Please find some hotel where the rates are moderate.
君がいなくて寂しいよ。	I miss you.
煙突から黒い煙が出てきた。	Black smoke came out of the chimney.
この食事にはビタミンがたくさんはいっている。	This diet is full of vitamins.
体中が痛む。	I ache all over.
さらに多くのツバメを見ることができます。	We can see more and more swallows.
それは全く役に立たない。	That's just useless.
息を深く吸ってください。	"Take a deep breath, please."
そのバスは８時ぴったりに到着した。	The bus arrived exactly at 8 a.m.
トムはお風呂場にいるの？	Is Tom in the bathroom?
あっ。すみません。それがルール違反になるとは知りませんでした。	"Oh, sorry, I didn't know it was against the rules."
彼はみんなにほめられる。	He is well spoken of by everybody.
その男性は、彼の名前はトムだと言いました。	That man said his name was Tom.
彼はかんかんに怒っている。	He's really angry.
北海の海底で石油が発見されている。	Oil has been discovered under the North Sea.
あなたは玄人で、私は素人。	"You're a professional, and I'm an amateur."
彼の妻は自動車事故でけがをしたので入院している。	His wife is in the hospital because she was injured in a car crash.
同感です。	I agree with you.
さっさとこの絵を仕上げよう。	Let's complete this picture quickly.
目を覚ませよ！	Wake up.
週末はどんな予定？	What are your plans for the weekend?
完璧！	Perfect!
誰もが名文を書けるわけではない。	It's not as if just anybody can write a literary gem.
トムは料理ができるの？	Can Tom cook?
今年の冬は風邪が大流行している。	Colds are prevalent this winter.
私は財布を置き忘れた。	I left my purse behind.
彼はコーヒーに少し砂糖を加えた。	He added a little sugar to the coffee.
どうしていいかわからないよ。	I'm at my wit's end.
この本はもう読みましたか。	Have you read this book?
２人とも酔っぱらってるの？	Are you both drunk?
トムは自分の感情をコントロールしようとした。	Tom tried to control his emotions.
誰か怪我した？	Is anybody hurt?
やめなさい。	Knock it off.
また来てね。	Come again.
家に入るとき、私はマットにつまずいた。	"Entering the house, I tripped over the mat."
どうだった、テスト？	How did your test go?
美しい富士山の景色が見えるかと期待していたが、あいにくと雲がすっぽりと山を覆っていた。	"I was looking forward to seeing a scenic view of Mt. Fuji, but unfortunately it was completely hidden behind clouds."
当時は、何が起きているのか想像もつかなかった。	"At that time, I had no idea what was going to happen."
夢もなければ生きられない。	Man can't live without dreams.
ちょっと待って下さい。	"Just a moment, please."
私にして欲しいことは何でも言ってください。	Just tell me what you'd like me to do.
トムはメアリーとトランプをしている。	Tom is playing cards with Mary.
メアリーは政治に関心がある。	Mary is interested in politics.
母は一人暮らしをしている。	My mother lives by herself.
トムは打ち負かされた。	Tom was beaten.
１９世紀には移民の数が急激に増大した。	"In the 19th century, the number of immigrants grew rapidly."
今のアナウンスがよくわからなかったのですが。	I couldn't understand the announcement that was just made.
彼女はミルクを１杯飲んだ。	She drank a cup of milk.
謝ったんだから、さっきのはチャラにしてよ。	"I've apologized, so lay off, OK?"
彼女は可愛い。	She's a cutie.
そのことは考えたくないんだ。	I don't want to think about it.
その子は犬に石を投げた。	The child threw a stone at the dog.
その手紙、私のためにトムがフランス語に訳してくれたの。	Tom translated the letter into French for me.
メアリーはピアノが上手だとトムから聞いてはいたが、実際に演奏を聴くまで私は信じていなかった。	"Tom told me that Mary was good at playing the piano, but I didn't really believe him until I heard her play."
彼女は授業を欠席した。	She was absent from class.
彼は若く見える。	He looks young.
トムはまだ泳げない。	Tom is not yet able to swim.
離婚するの？	Are you getting a divorce?
残念ながらその通りです。	"Unfortunately, it's true."
塩を回してくださいませんか。	Can you pass me the salt?
非常に沢山の人々がその広告にだまされた。	Thousands of people were deceived by the advertisement.
明日は明日の風が吹く。	There is a right time for everything.
車を運転するには運転免許証が必要だ。	You must have a driver's license before you can drive a car.
全員出席です。	All are present.
一人暮らしをはじめた。	I began living by myself.
彼女は息子がひどい扱いを受けたと憤慨していた。	She was indignant at the way her son had been treated.
今日、学校行きたくない。	I don't want to go to school today.
楽に得たものは、すぐに失ってしまう。	"Easy come, easy go."
私は君ほど文学には興味がない。	I'm not as interested in literature as you.
睡眠をとったほうがいい。	You need sleep.
彼は父親の病気を心配している。	He is concerned about his father's illness.
私は、バスで学校に行く。	I go to school by bus.
僕はトムのことが好きだけど、彼は僕のことを好きではない。	"I like Tom, but he doesn't like me."
僕はあまりいい運転手ではない。	I'm not a very good driver.
ロンドンは彼らの第二の故郷です。	London is their second home.
もし私が死んだりしたら、誰が子どもたちの面倒を見てくれるだろう？	Who would look after my children if I died?
トムとメアリーは高級ホテルに宿泊した。	Tom and Mary stayed at a fancy hotel.
トムはオーストラリアに引っ越す予定だ。	Tom is going to be moving to Australia.
幸福は買えない。	You can't buy happiness.
一週間でどれほどのことが学べるか、自分でもびっくりするはずだよ！	You'd be surprised what you can learn in a week.
トムはバカなことをした。	Tom has done something foolish.
私は嘘をつくような人間ではない。	I'm above telling lies.
ウサギには長い耳と短い尾がある。	A rabbit has long ears and a short tail.
トムは挑戦する。	Tom tries.
私はアメリカへ行きたい。	I want to go to America.
フルート独奏をやるつもりです。	I plan to play a flute solo.
ことによると、きみにも一緒にきてもらう。	Maybe you'd better come with us.
彼女の努力には頭が下がる。	I take my hat off to her for her effort.
木がたくさん倒れた。	Many trees fell down.
ここから出る別の方法はありますか？	Is there another way out of here?
このペンとあのペンではどちらが長いですか。	"Which is longer, this pen or that one?"
その茶色の帽子は古いです。	That brown hat is old.
彼はその質問に当惑した。	He was puzzled by the question.
明かりがつけっぱなしでしたよ。	You left your lights on.
それはどうして起こったのですか。	How did it come about?
他の皆がいなくなってから、その辺をしばらくブラブラして話さないか？	Why don't you hang around a while after everyone else leaves so we can talk?
私は昨日魚を五匹とった。	I caught five fish yesterday.
目が覚めると車の中だった。	"When I woke up, I was in the car."
彼は何と言いましたか。	What did he say?
私は簡単には泣かない。	I don't cry easily.
彼はその高校の校長です。	He is the principal of the high school.
プリンターが紙詰まりを起こしました。	The printer had a paper jam.
素敵な考えね。	This is a fantastic idea.
かなり多くの学生が今日欠席している。	Quite a few students are absent today.
私の心は幸福感でいっぱいだった。	My heart was filled with happiness.
トムは30歳の男です。	Tom is a thirty-year-old man.
一晩でその本を全部読んだ。	I read the whole book in one evening.
仕事を中途半端にするな。	Don't leave your work half done.
彼は遅刻しがちだ。	He is apt to be late.
ランチ食べに行ってくる。	I'm going out for lunch.
私はめったに徒歩で会社には行かない。	I hardly ever walk to work.
６割る２は３です。	Six divided by two is three.
子供らは外で遊んでるよ。	The children are playing outside.
観光事業が多くの新しい仕事を生み出した。	Tourism generated many new jobs.
行きたいときに行きなさい。	Go when you want.
また近いうちにお目にかかりましょう。	Let's meet again soon.
おじと住んでます。	I live with my uncle.
レポートをフランス語に訳すのを手伝っていただき、大変感謝しております。	I'd like to thank you for helping me translate the report into French.
飛行機で食事をしてもいいですか？	Is it OK to take food on the plane?
トムがその道を渡るのを見た。	I watched Tom cross the street.
何時ですか。	What time do you have?
お名前とご住所をお書きください。	"Write your name and address, please."
もう一歩も歩けないよ。	I can't take another step.
メアリーは今週、期末テストの勉強で遅くまで起きてるんだよ。	Mary is staying up late this week to prepare for her finals.
娘は6月に結婚します。	My daughter will get married in June.
彼は大喜びであなたを手伝ってくれるでしょう。	He will be only too glad to help you.
彼はやり手だと思う。	I think he's competent.
たぶんトムが助けてくれます。	Maybe Tom will help.
好きな作家は誰ですか？	Who's your favorite writer?
彼は深呼吸した。	He breathed deeply.
ジャンクフードが好きなんだ。	I like junk food.
彼は何を調べたのですか。	What did he look up?
全く同感です。	I agree with you absolutely.
風邪引いちゃうよ。	You'll catch a cold.
トムの友達には、父親が宇宙飛行士をしている人がいる。	Tom has a friend whose father is an astronaut.
歯がすごく痛むんです。	I have a terrible toothache.
他に誰が来れないんだっけ？	Isn't anyone else able to come?
私たちは夕食後散歩に行った。	We went out for a walk after dinner.
お待たせして申し訳ございません。	I'm sorry I kept you waiting.
立っているのは、みんな男だった。	Those standing were all men.
ナイフが鋭くない。	The knife is not sharp.
こういう服、似合ってるよ。	These clothes suit you.
父はその映画の間ずっと眠っていた。	My father slept through the movie.
ミシシッピ川はアメリカ合衆国で最も長い川です。	The Mississippi is the longest river in the United States.
絵に触ってはいけない。	You must not touch the paintings.
トムとデートしたいな。	I want to go out with Tom.
失うものは何もない。	I have nothing to lose.
駅まで走らなければならなかった。	I had to run to the station.
トムには一人も兄弟がいない。	Tom has no brothers.
彼は足を踏んだことを私にわびた。	He apologized to me for stepping on my foot.
あしたは家に居るつもりだ。	I'll stay at home tomorrow.
光は音よりはるかに早く伝わる。	Light travels much faster than sound.
トムが高校生の時にそのあだ名はついた。	Tom got that nickname in high school.
一番近いバス停はどこですか。	Where's the closest bus stop?
ここオーストラリアにいる間、何がしたいですか？	What would you like to do while you're here in Australia?
何かが見える気がします。	I think that I see something.
１８４７年、彼らは独立を宣言した。	"In 1847, they declared independence."
１０頁を参照してください。	Please refer to page ten.
何も保証はできないよ。	We can't promise anything.
彼はお酒を控えている。	He abstained from alcohol.
ゴミバケツをあさっていた子供は、4日間何も食べていないと言いました。	The boy I saw searching through the garbage can said that he had not eaten anything for four days.
これはトムが使ったカップですか？	Is this the cup that Tom used?
美術館には絵がたくさんかかっている。	Many paintings hang in art museums.
この二、三日とても忙しい。	I've been very busy the last few days.
明日雨が降るかどうかわからない。	I don't know if it'll rain tomorrow or not.
泳げればなあ。	I wish I could swim.
この時計、こわれてる。	This watch is broken.
それのどこが悪いのか分かりません。	I don't see what's wrong with that.
洗濯物干してくれる？	Could you hang up the laundry?
空気に重さがある、という考えはその子にはびっくりするようなことだった。	The idea that air has weight was surprising to the child.
トムはかなり長い間、ボストンの近くで小さなバーを経営していた。	Tom managed a small bar near Boston for quite a few years.
トムはメアリーが金目当ての女だと知ってがっかりし、メアリーはトムが貧乏だと知ってがっかりした。	Tom was sad when he discovered that Mary was a gold digger and Mary was sad when she discovered that Tom was poor.
トムのお母さんはカナダ人です。	Tom's mother is Canadian.
私が不注意なことは認める。	I admit that I was careless.
トムは飛行機から降りた。	Tom got off the plane.
リンゴの木を家の庭に植えた。	I planted an apple tree in my yard.
トムを見ませんでしたか？	Didn't you see Tom?
ぶっちゃけた話、これっていくらぐらいしたの？	"Sorry to be so direct, but how much did you pay for this?"
トムが頭を剃って丸坊主になった夏のことまだ覚えてる？	Can you remember the summer Tom shaved his head?
トムはまず何をやるべきかわかっていない。	Tom doesn't know what to do first.
どのようにしてそのニュースを知ったのですか？	How did you learn about that news?
洗濯機から変な音がしてるよ。	The washing machine is making a strange sound.
なんてことだ！うちが燃えている！	"Oh, no! My house is on fire!"
すごい！じゃこれから時々あえるわね。	Great! Let's get together sometime.
トムは来年外国に行きたがっている。	Tom wants to go abroad next year.
どの大学を卒業したかは大した問題ではない。	It doesn't matter very much which college you graduated from.
すぐ参ります。	I'll be there right away.
この状況が私たちにとって非常に困難であることは知っている。	I know the situation is very difficult for us.
しょっちゅうドキュメンタリー番組を見てるよ。	I always watch documentaries.
ナメクジに塩をかけたら死んじゃうの？	Do slugs die if you put salt on them?
大きな家が全て住み心地がよいとは限らない。	Large houses are not necessarily comfortable to live in.
そこへ行くつもりだ。	I intend to go there.
彼女は糸を通した針で縫います。	She sews with a needle and thread.
どうしてでしょう。	Why is this?
トムは今日学校を休んでいる。	Tom is absent from school today.
彼女にラブレターを書いてた。	I was writing her a love letter.
彼はスイス生まれだ。	He was born in Switzerland.
私は少しだけお金を持っています。	I have a little money.
雪が降りそうだ。	It looks like it's going to snow.
彼女は一度も恋をしたことがありません。	She has never been in love.
毎週月曜日はここに来てるんだ。	I come here every Monday.
とりあえず今は私のを使って。	Just use mine for now.
自動車事故の大部分が運転者の不注意に起因する。	Most car accidents happen because drivers aren't paying attention.
来て下さい。君にぜひ会いたいから。	Please come. I'm anxious to see you.
謝らなくてはいけない理由がさっぱり分からない。	I don't see any reason why I have to apologize.
トムについて喋りすぎだよ。	You talk about Tom too much.
プールで泳いだ後はスッキリした気分になった。	I felt refreshed after a swim in the pool.
自分の限界を知る事は重要である。	It is important to know your own limitations.
もうすぐできる？	Are you almost done?
彼女はどこに行ったの？	Where has she gone?
すみません、宿題忘れました。	"I'm sorry, I forgot to do my homework."
彼は何事もなかったかのように話し続けた。	He went on talking as though nothing had happened.
どうぞおかけください。	"Take a seat, please."
私はUFOを見たことがあります。	I have seen a UFO.
間違えがもしあれば、直しなさい。	Correct the errors if there are any.
あの男性は誰ですか。	Who is that man?
東京での生活費はとても高い。	The cost of living in Tokyo is very high.
私にやらせてください。	Please let me do it.
この文の意味がわからないのですね？	"You can't understand this sentence, can you?"
妹は北海道へ行くまでに宿題をやり終えているだろう。	My sister will have finished her homework before she goes to Hokkaido.
本当に全部覚えてるの？	Are you sure you remember everything?
メアリーはすごく美人だけど性格は余りよくない。	"Mary is very beautiful, but she doesn't have a very good personality."
吹雪が続いた。	The snowstorm continued.
このクラスの生徒は１５人に限定されている。	The number of students in this class is limited to 15.
まる１週間働いたので日曜日はのんびりしました。	"After working all week, we took it easy on Sunday."
私は一時間勉強しました。	I studied for one hour.
毎年冬になると唇がカサカサに乾燥してしまいます。	I get chapped lips every winter.
昔の人は随分寿命が短かった。	"A long time ago, people had very short lifespans."
私はやっとその問題の解決策を見つけた。	I finally found the solution to the problem.
先生は僕にシェイクスピアを読むよう勧めてくれた。	The teacher recommended that I read Shakespeare.
決定は延期された。	The decision was put off.
彼女によろしくとお伝えください。	Please say hello to her.
どうやって説明すればいいかわからない。	I don't know how to explain it.
人にどう思われてるかって気になる？	Do you care what other people think about us?
私の物理の先生は授業をサボっても気にしない。	My physics teacher doesn't care if I skip classes.
日本の気候は穏やかである。	The climate of Japan is mild.
りんごの半数が腐っている。	Half of the apples are rotten.
彼はオハイオ州で生まれた。	He was born in Ohio.
分からないよ。	I don't know.
ビール１瓶、おいくらですか？	How much does a beer cost?
遅刻するなよ！	Don't be tardy.
神は存在する。	God exists.
ガスの元栓を閉めなさい。	Turn off the gas.
背中が少し痛いんです。	I've got a bit of an ache in my back.
私は今週休暇を取ろうと思っている。	I think I will take a vacation this week.
彼女は彼からプレゼントをもらった。	She got a present from her boyfriend.
チケットは1枚20円です。	The tickets are 20 yen each.
かっかするなよ。	Don't lose your temper.
この手紙、フランス語に訳して欲しいの。	I'd like you to translate this letter into French.
試合は雨で中止になりました。	The game was rained out.
トムは靴紐を結ぶためにしゃがんだ。	Tom bent down to tie his shoe.
彼は昨日は一晩中勉強しました。	"Last night, he studied all night long."
トムは今図書館で勉強しています。	Tom is now studying in the library.
よくなった？	Is that better?
トムは新しい車を気に入っている。	Tom likes his new car.
お別れを言いにちょっと立ち寄ってみました。	I just dropped in to say goodbye.
母はケーキを作っている。	My mother is making a cake.
私にとってそれは重要なことです。	That's important to me.
トムって心が狭いと思う。	I think Tom is narrow-minded.
好きなだけ食べていいよ。	You can eat as much as you want.
彼女は一言よいアドバイスをしてくれた。	She gave me a piece of good advice.
彼は完璧主義者だ。	He is a person who never cuts corners.
これはもう調理されているの？	Is this already cooked?
君と僕は同いだ。	You and I are the same age.
すみません、洗濯機の使い方教えてもらえませんか？	"Excuse me, would you show me how to use the washing machine?"
父は中国へ旅立った。	My father left for China.
トムもそこにいるの？	"Is Tom there, too?"
何が起きようとしているかをトムが悟ったことは、その表情を見て知れました。	I could tell by the look on Tom's face that he knew what was going on.
何か冷たいもの飲みたい。	I want something cold to drink.
誰か海まで散歩に行かない？	Does anybody want to take a walk to the beach?
10月に僕はここにいなかった。	I wasn't here in October.
今日は何もする気になれない。	"Today, I don't feel like doing anything."
彼女は彼を欺いた。	She fooled him.
近いうちにお会いできることを、楽しみにしております。	I'm looking forward to seeing you again soon.
ここにいて彼を待って下さい。	"Stay here and wait for him, please."
私は新しい商売に従事している。	I am engaged in a new business.
トムはまだ家にいると思う？	Do you think Tom is still at home?
コップを割らないように注意しなさい。	Take care not to break the glasses.
一時間以上も待ったんだよ。	I've been waiting for you for over an hour.
トムは何もしていない。	Tom is doing nothing.
待って。行かないでよ。	Wait. Don't go.
彼女は三日ごとにスーパーへ行く。	She goes to the supermarket every three days.
この映画を見て感動しない者はいない。	Nobody can see this movie without being moved.
手伝おうか。	Can I help you?
７月１１日金曜日の午前１０時にホテルに迎えに来ていただけませんか。	Would you please pick me up at the hotel on Friday July 11th at 10:00 a.m.?
屋上からは、何マイルも見渡せる。	You can see for miles from the roof.
トムは明日の2時半までにはここに来るはずだ。	Tom should be here tomorrow by 2:30.
彼女は旅行を計画している。	She is contemplating a trip.
本当に一杯のコーヒーが飲みたい。	I'd really like to drink a cup of coffee.
あなたの家族にタバコを吸う人はいますか?	Does anyone in your family smoke?
犬が彼女の足にかみついた。	A dog bit her on the leg.
まだオーストラリアに住んでるんですか？	Are you still living in Australia?
首相は明日、記者会見を開きます。	The Prime Minister will hold a press conference tomorrow.
彼女を見て彼は顔を赤らめた。	He saw her and blushed.
ちょっと待って下さい。	Just a minute.
私としては、それは真実でないと思います。	"As far as I'm concerned, I don't think that that's true."
彼女は彼の言うことに耳を貸さなかった。	She closed her ears to what he was saying.
あなたは金銭問題にはもっと注意すべきだったのに。	You should have been more careful in money matters.
彼は若そうだ。	He looks young.
感染の徴候は見られない。	There's no sign of infection.
トムをどのくらいよく知っていますか。	How well do you know Tom?
外へ出たい。	I feel like going out.
君たちはオーストリアのどこで育ったの？	Where in Austria did you grow up?
雪が降り出した。	It began to snow.
その箱はとても重かったので、私は持ち上げることができなかった。	The box was so heavy that I couldn't lift it.
どれくらいこの寒い天気は続きますか。	How long will this cold weather continue?
会議は深夜まで続いた。	The meeting continued late into the night.
辛くない韓国料理が食べたい。	I want to eat some Korean food that isn't hot and spicy.
なおして下さい。	Can you get it repaired?
この辺では水が不足しています。	Water is scarce in this area.
あの日って、飲んでたの？	Were you drinking that day?
父は旅行の準備で忙しい。	My father is busy getting ready for his trip.
まもなく雨が降りそうだ。	It is going to rain soon.
弱いものいじめはよせ、このごろつきめが！	"Pick on somebody your own size, you bully."
その二人の女性が互いをよく知っているのは明白だった。	It was obvious that those two women knew each other well.
彼は車を買うことができない。	He can't buy a car.
トムは人前で話すことに慣れている。	Tom is accustomed to speaking in public.
着てみていいかしら。	May I try it on?
あれは猫ですか犬ですか。	Is that a cat or a dog?
昨日の夜、彼と電話で話した。	I spoke to him on the phone last night.
名前は何ですか。	What is your name?
自分でやりなさい。	Do it yourself.
２０パーセントから４０パーセント値引きされているよ。	Prices have been reduced by 20 to 40 percent.
被告人が審理中に保安係りのピストルを掴み判事を撃った。	The defendant was about to stand trial when he grabbed the deputy's gun and shot the judge.
私のおじいちゃんは大工です。	My grandfather is a carpenter.
もっとお水ある？	Is there any more water?
それが俺にできるベストだね。	It's the best I can do.
彼はその詩を暗記した。	He learned the poem by heart.
トムはへべれけになっていた。	Tom was totally wasted.
彼の指に痛みが走った。	Pain shot through his finger.
何をかりかりしてるの。	What's biting you?
損失額は１億ドルに及ぶだろう。	The loss will amount to one hundred million dollars.
「今夜電話してもいい？」「いいよ」	"May I call you tonight? ""Sure."""
あの湖は海のように見えます。	That lake looks like the sea.
ただ今日は学校に行く気が起きないんだ。	I just don't feel like going to school today.
学校はどちらですか。	Where do you go to school?
本当に何も飲み物は残ってない？	Are you sure there's nothing left to drink?
缶を開けてもいいですか。	May I open a can?
トムに電話しましたか？	Did you call Tom?
ちょっと、私はあなたの味方よ。	"Hey, I'm on your side."
トムは夏祭りに参加した。	Tom took part in the summer festival.
彼はもう来ましたか。	Has he come yet?
子供が夜１人で外出するのは危険だ。	It is dangerous for children to go out alone at night.
雨は一週間降り続いた。	The rain lasted a week.
ＦＢＩが関与してたんですか？	Was the FBI involved?
ここから海の音が聞こえる。	We can hear the ocean from here.
トムは決して自分の仕事の話をしない。	Tom never talks about his work.
